year_month,reviews
2020-01-01,906
2020-02-01,897
2020-03-01,776
2020-04-01,106
2020-05-01,193
2020-06-01,302
2020-07-01,636
2020-08-01,819
2020-09-01,804
2020-10-01,1161
2020-11-01,796
2020-12-01,485
2021-01-01,567
2021-02-01,494
2021-03-01,716
2021-04-01,890
2021-05-01,1301
2021-06-01,1393
2021-07-01,1872
2021-08-01,1996
2021-09-01,2010
2021-10-01,2536
2021-11-01,1851
2021-12-01,1416
2022-01-01,1213
2022-02-01,1264
2022-03-01,1827
2022-04-01,2353
2022-05-01,2939
2022-06-01,2906
2022-07-01,2979
2022-08-01,3011
2022-09-01,3315
2022-10-01,3679
2022-11-01,2438
2022-12-01,1611
2023-01-01,1546
2023-02-01,1278
2023-03-01,2291
2023-04-01,2965
2023-05-01,3442
2023-06-01,3551
2023-07-01,3578
2023-08-01,3868
2023-09-01,4051
2023-10-01,4894
2023-11-01,2980
2023-12-01,2035
2024-01-01,1729
2024-02-01,1943
2024-03-01,3272
2024-04-01,3701
2024-05-01,4661
2024-06-01,4864
2024-07-01,4731
2024-08-01,4774
2024-09-01,5188
2024-10-01,5486
2024-11-01,3441
2024-12-01,2459
2025-01-01,1935
2025-02-01,2005
2025-03-01,3342
2025-04-01,4164
2025-05-01,5321
2025-06-01,5490
2025-07-01,5131
2025-08-01,5539
2025-09-01,3072
